StandardVesselType;ShiptypeLevel5;Classif;;;;;;
Bulk carrier;Bulk/Oil/Chemical Carrier (CLEANBU);ISIC 501;;;;;;
Bulk carrier;Bulk/Sulphuric Acid Carrier;ISIC 501;;;;;;
Bulk carrier;Bulk/Caustic Soda Carrier (CABU);ISIC 501;;;;;;
Bulk carrier;Bulk Cement Carrier, Inland Waterways;other;;;;;;
Bulk carrier;Urea Carrier;ISIC 501;;;;;;
Bulk carrier;Refined Sugar Carrier;ISIC 501;;;;;;
Bulk carrier;Wood Chips Carrier;ISIC 501;;;;;;
Bulk carrier;Powder Carrier;ISIC 501;;;;;;
Bulk carrier;Limestone Carrier;ISIC 501;;;;;;
Bulk carrier;Bulk/Oil Carrier (OBO);ISIC 501;;;;;;
Bulk carrier;Bulk Carrier (with Vehicle Decks);ISIC 501;;;;;;
Bulk carrier;Bulk Carrier, Self-discharging, Laker;ISIC 501;;;;;;
Bulk carrier;Bulk Carrier, Self-discharging;ISIC 501;;;;;;
Bulk carrier;Cement Carrier;ISIC 501;;;;;;
Bulk carrier;Ore/Oil Carrier;ISIC 501;;;;;;
Bulk carrier;Bulk Carrier;ISIC 501;;;;;;
Bulk carrier;Ore Carrier;ISIC 501;;;;;;
Bulk carrier;Bulk Carrier, Laker Only;ISIC 501;;;;;;
Chemical tanker;Latex Tanker;ISIC 501;;;;;;
Chemical tanker;Edible Oil Tanker, Inland Waterways;other;;;;;;
Chemical tanker;Vegetable Oil Tanker, Inland Waterways;other;;;;;;
Chemical tanker;Chemical Tanker, Inland Waterways;other;;;;;;
Chemical tanker;Chemical/Products Tanker, Inland Waterways;other;;;;;;
Chemical tanker;Edible Oil Tanker;ISIC 501;;;;;;
Chemical tanker;Beer Tanker;ISIC 501;;;;;;
Chemical tanker;Molten Sulphur Tanker;ISIC 501;;;;;;
Chemical tanker;Vegetable Oil Tanker;ISIC 501;;;;;;
Chemical tanker;Wine Tanker;ISIC 501;;;;;;
Chemical tanker;Chemical Tanker;ISIC 501;;;;;;
Chemical tanker;Chemical/Products Tanker;ISIC 501;;;;;;
Container;Container Ship (Fully Cellular), Inland Waterways;other;;;;;;
Container;Container/Ro-Ro Cargo Ship;ISIC 501;;;;;;
Container;Container Ship (Fully Cellular/Ro-Ro Facility);ISIC 501;;;;;;
Container;Container Ship (Fully Cellular);ISIC 501;;;;;;
General cargo;General Cargo Ship, Self-discharging;ISIC 501;;;;;;
General cargo;Open Hatch Cargo Ship;ISIC 501;;;;;;
General cargo;Palletised Cargo Ship;ISIC 501;;;;;;
General cargo;General Cargo Ship (with Ro-Ro facility);ISIC 501;;;;;;
General cargo;Deck Cargo Ship;ISIC 501;;;;;;
General cargo;General Cargo/Tanker;ISIC 501;;;;;;
General cargo;General Cargo/Passenger Ship, Inland Waterways;other;;;;;;
General cargo;General Cargo, Inland Waterways;ISIC 501;;;;;;
General cargo;General Cargo Ship;other;;;;;;
General cargo;General Cargo/Passenger Ship;ISIC 501;;;;;;
Liquified gas tanker;CNG Tanker;ISIC 501;;;;;;
Liquified gas tanker;Combination Gas Tanker (LNG/LPG);ISIC 501;;;;;;
Liquified gas tanker;LPG Tanker, Inland Waterways;other;;;;;;
Liquified gas tanker;CO2 Tanker;ISIC 501;;;;;;
Liquified gas tanker;LNG Tanker;ISIC 501;;;;;;
Liquified gas tanker;LPG Tanker;ISIC 501;;;;;;
Liquified gas tanker;LPG/Chemical Tanker;ISIC 501;;;;;;
Oil tanker;Coal/Oil Mixture Tanker;ISIC 501;;;;;;
Oil tanker;Shuttle Tanker;ISIC 501;;;;;;
Oil tanker;Asphalt/Bitumen Tanker;ISIC 501;;;;;;
Oil tanker;Oil Tanker, Inland Waterways;other;;;;;;
Oil tanker;Crude Oil Tanker;ISIC 501;;;;;;
Oil tanker;Crude/Oil Products Tanker;ISIC 501;;;;;;
Oil tanker;Products Tanker;ISIC 501;;;;;;
Other liquids tankers;Caprolactam Tanker;ISIC 501;;;;;;
Other liquids tankers;Alcohol Tanker;ISIC 501;;;;;;
Other liquids tankers;Water Tanker, Inland Waterways;other;;;;;;
Other liquids tankers;Fruit Juice Carrier, Refrigerated;ISIC 501;;;;;;
Other liquids tankers;Molasses Tanker;ISIC 501;;;;;;
Other liquids tankers;Glue Tanker;ISIC 501;;;;;;
Other liquids tankers;Tanker (unspecified);ISIC 501;;;;;;
Ferry-pax only;Passenger Ship, Inland Waterways;other;;;;;;
Ferry-pax only;Passenger Ship;ISIC 501;;;;;;
Cruise;Cruise Ship, Inland Waterways;other;;;;;;
Cruise;Passenger/Cruise;ISIC 501;;;;;;
Ferry-RoPax;Air Cushion Vehicle Passenger;ISIC 501;;;;;;
Ferry-RoPax;Passenger/Ro-Ro Ship (Vehicles/Train), Inland;ISIC 501;;;;;;
Ferry-RoPax;Passenger/Landing Craft;ISIC 501;;;;;;
Ferry-RoPax;Passenger/Ro-Ro Ship (Vehicles), Inland Waterways;other;;;;;;
Ferry-RoPax;Passenger/Ro-Ro Ship (Vehicles/Rail);ISIC 501;;;;;;
Ferry-RoPax;Passenger/Ro-Ro Ship (Vehicles);other;;;;;;
Ferry-RoPax;Air Cushion Vehicle Passenger/Ro-Ro (Vehicles);ISIC 501;;;;;;
Refrigerated bulk;Refrigerated Cargo Ship ;ISIC 501;;;;;;
Refrigerated bulk;Refrigerated Cargo Ship;ISIC 501;;;;;;
Ro-Ro;Ro-Ro Cargo Ship, Inland Waterways;other;;;;;;
Ro-Ro;Rail Vehicles Carrier;ISIC 501;;;;;;
Ro-Ro;Ro-Ro Cargo Ship;ISIC 501;;;;;;
Ro-Ro;Landing Craft;ISIC 501;;;;;;
Vehicle;Vehicles Carrier;ISIC 501;;;;;;
Yacht;Yacht;other;;;;;;
Yacht;Yacht (Sailing);other;;;;;;
Service-tug;Tug;other;;;;;;
Service-tug;Pusher Tug;other;;;;;;
Service-tug;Towing/Pushing, Inland Waterways;other;;;;;;
Miscellaneous-fishing;Fishing, Inland Waterways;Fishing;;;;;;
Miscellaneous-fishing;Pulp Carrier;Fishing;;;;;;
Miscellaneous-fishing;Fish Farm Support Vessel;Fishing;;;;;;
Miscellaneous-fishing;Fish Factory Ship;Fishing;;;;;;
Miscellaneous-fishing;Fish Carrier;Fishing;;;;;;
Miscellaneous-fishing;Fishing Vessel;Fishing;;;;;;
Miscellaneous-fishing;Fishery Support Vessel;Fishing;;;;;;
Offshore;Pipe Layer;other;;;;;;
Offshore;Pipe Layer Crane Vessel;other;;;;;;
Offshore;Diving Support Vessel;other;;;;;;
Offshore;Pipe Carrier;other;;;;;;
Offshore;Crew/Supply Vessel;other;;;;;;
Offshore;Accommodation Platform, semi submersible;other;;;;;;
Offshore;Offshore Construction Vessel, jack up;other;;;;;;
Offshore;Maintenance Platform, semi Submersible;other;;;;;;
Offshore;FSO, Gas;other;;;;;;
Offshore;Well Stimulation Vessel;other;;;;;;
Offshore;FSO, Oil;other;;;;;;
Offshore;FPSO, OilGas Processing Vessel;other;;;;;;
Offshore;Supply Platform, jack up;other;;;;;;
Offshore;Anchor Handling Vessel;other;;;;;;
Offshore;Offshore Tug/Supply Ship;other;;;;;;
Offshore;Accommodation Ship;other;;;;;;
Offshore;Platform Supply Ship;other;;;;;;
Offshore;Offshore Support Vessel;other;;;;;;
Offshore;Accommodation Vessel Stationary;other;;;;;;
Offshore;Accommodation Vessel, Stationary;other;;;;;;
Offshore;Gas Processing Vessel;other;;;;;;
Offshore;Anchor Handling Tug Supply;other;;;;;;
Offshore;FPSO, Oil;other;;;;;;
Service-other;Bunkering Tanker (LNG/Oil);other;;;;;;
Service-other;Bunkering Tanker (LNG);other;;;;;;
Service-other;Mooring Vessel;other;;;;;;
Service-other;Tank Cleaning Vessel;other;;;;;;
Service-other;Waste Disposal Vessel;other;;;;;;
Service-other;Water Tanker;other;;;;;;
Service-other;Crew Boat;other;;;;;;
Service-other;Icebreaker;other;;;;;;
Service-other;Search & Rescue Vessel;other;;;;;;
Service-other;Pilot Vessel;other;;;;;;
Service-other;Salvage Ship;other;;;;;;
Service-other;Bunkering Tanker (Oil);other;;;;;;
Service-other;Work/Repair Vessel;other;;;;;;
Miscellaneous-other;Products Tank Barge, non propelled;other;;;;;;
Miscellaneous-other;Yacht Carrier, semi submersible;ISIC 501;;;;;;
Miscellaneous-other;Wing In Ground Effect Vessel;other;;;;;;
Miscellaneous-other;Passenger/Container Ship;ISIC 501;;;;;;
Miscellaneous-other;Air Cushion Vehicle, work vessel;other;;;;;;
Miscellaneous-other;Pumping Platform;other;;;;;;
Miscellaneous-other;Rocket Launch Support Ship;other;;;;;;
Miscellaneous-other;Production Platform, jack up;other;;;;;;
Miscellaneous-other;Bucket Wheel Suction Dredger;other;;;;;;
Miscellaneous-other;Crude Oil Tank Barge, non propelled;ISIC 501;;;;;;
Miscellaneous-other;Shopping Complex;other;;;;;;
