StandardVesselType;ShiptypeLevel5;Classif2
Miscellaneous-other;Weapons Trials Vessel;Military
Miscellaneous-other;Naval Small Craft;Military
Miscellaneous-other;Troopship;Military
Miscellaneous-other;Minelayer;Military
Miscellaneous-other;Munitions Carrier;Military
Miscellaneous-other;Logistics Vessel (Naval Ro-Ro Cargo);Military
Miscellaneous-other;Cruiser;Military
Miscellaneous-other;Attack Vessel, Naval;Military
Miscellaneous-other;Torpedo Recovery Vessel;Military
Miscellaneous-other;Infantry Landing Craft;Military
Miscellaneous-other;Aircraft Carrier;Military
Miscellaneous-other;Minesweeper;Military
Miscellaneous-other;Frigate;Military
Miscellaneous-other;Destroyer;Military
Miscellaneous-other;Minehunter;Military
Miscellaneous-other;Command Vessel;Military
Miscellaneous-other;Submarine;Military
Miscellaneous-other;Corvette;Military
Miscellaneous-other;Patrol Vessel;Military
Miscellaneous-other;Tank Landing Craft;Military
Miscellaneous-other;Diving Vessel, Naval Auxiliary;Military
Miscellaneous-other;Unknown Function, Naval/Naval Auxiliary;Military
